task_text,step_idx,rows,trajs,tasks,step_min,step_max,stages,exact_obs_groups,actions,valid_rate,reward_mean,episode_reward_mean,value_pred_mean,value_pred_std,value_target_mean,value_target_std,value_error_mae,clipped_rate,prompt_len_mean,response_len_mean
"Find me home office furniture sets for dining room, living room with color: navy | red, and item shape: round, and size: 3 ft 7 in x 5 ft 2 in, and price lower than 70.00 dollars.",2,9,8,1,2,2,product_detail;search_results,2,click,1.0,0.0,5.555555555555555,3.4114583333333335,0.9900012823539676,3.4526336193084717,1.8701790962848497,2.077437745200263,0.7777777777777778,1542.4444444444443,475.44444444444446
"Find me home office furniture sets for dining room, living room with color: navy | red, and item shape: round, and size: 3 ft 7 in x 5 ft 2 in, and price lower than 70.00 dollars.",3,8,8,1,3,3,product_detail,1,click,0.875,0.0,5.0,4.61328125,0.2774734040504733,3.363806277513504,2.2909005316142763,2.0776611268520355,0.625,1906.125,387.875
"Find me home office furniture sets for dining room, living room with color: navy | red, and item shape: round, and size: 3 ft 7 in x 5 ft 2 in, and price lower than 70.00 dollars.",4,8,8,1,4,4,product_detail,1,click,0.875,0.0,5.0,4.984375,0.13258252147247768,3.3950768411159515,2.6744926984913477,2.3623959124088287,0.375,1649.625,349.75
"Find me home office furniture sets for dining room, living room with color: navy | red, and item shape: round, and size: 3 ft 7 in x 5 ft 2 in, and price lower than 70.00 dollars.",5,7,7,1,5,5,product_detail,1,click,1.0,0.0,5.714285714285714,4.419642857142857,0.28058784487300276,4.063751493181501,2.852517599279278,2.2252159118652344,0.7142857142857143,1611.2857142857142,433.0
"Find me home office furniture sets for dining room, living room with color: navy | red, and item shape: round, and size: 3 ft 7 in x 5 ft 2 in, and price lower than 70.00 dollars.",6,6,6,1,6,6,product_detail,1,click,1.0,0.0,6.666666666666667,4.244791666666667,0.012757759076995723,5.073436458905538,2.8437868863883584,2.515828092892965,0.6666666666666666,1616.5,367.5
"Find me home office furniture sets for dining room, living room with color: navy | red, and item shape: round, and size: 3 ft 7 in x 5 ft 2 in, and price lower than 70.00 dollars.",7,6,6,1,7,7,product_detail,1,click,1.0,1.6666666666666667,6.666666666666667,4.567708333333333,0.14033534984695278,5.426321188608806,3.328612099068788,2.94401216506958,0.6666666666666666,1607.8333333333333,393.6666666666667
"Find me home office furniture sets for dining room, living room with color: navy | red, and item shape: round, and size: 3 ft 7 in x 5 ft 2 in, and price lower than 70.00 dollars.",8,5,5,1,8,8,product_detail,1,click,1.0,0.0,6.0,4.2125,0.19565594803123162,4.808652544021607,3.209876802651929,2.8622100353240967,0.6,1612.4,413.2
"Find me home office furniture sets for dining room, living room with color: navy | red, and item shape: round, and size: 3 ft 7 in x 5 ft 2 in, and price lower than 70.00 dollars.",9,5,5,1,9,9,product_detail,1,click,1.0,0.0,6.0,4.025,0.013975424859373661,5.1769328117370605,3.7548764571707482,3.525976467132568,0.4,1617.4,270.2
"Find me home office furniture sets for dining room, living room with color: navy | red, and item shape: round, and size: 3 ft 7 in x 5 ft 2 in, and price lower than 70.00 dollars.",10,5,5,1,10,10,product_detail,1,click,1.0,0.0,6.0,4.234375,0.17469281074217113,5.58440637588501,4.399642256875682,4.188093852996826,0.4,1612.2,333.2
"Find me home office furniture sets for dining room, living room with color: navy | red, and item shape: round, and size: 3 ft 7 in x 5 ft 2 in, and price lower than 70.00 dollars.",11,6,5,1,11,11,product_detail,1,click,1.0,5.0,5.0,2.5833333333333335,0.2197891982483822,5.307990908622742,5.1398555783791116,4.671175758043925,0.5,1616.8333333333333,298.3333333333333
"Find me home office furniture sets for dining room, living room with color: navy | red, and item shape: round, and size: 3 ft 7 in x 5 ft 2 in, and price lower than 70.00 dollars.",12,2,2,1,12,12,product_detail,1,click,1.0,0.0,0.0,2.625,0.0,0.4216940402984619,0.030063515630214758,2.203305959701538,1.0,1623.0,512.0
"Find me home office furniture sets for dining room, living room with color: navy | red, and item shape: round, and size: 3 ft 7 in x 5 ft 2 in, and price lower than 70.00 dollars.",13,2,2,1,13,13,product_detail,1,click,1.0,0.0,0.0,2.765625,0.0,0.18591785430908203,0.03516193560088059,2.579707145690918,1.0,1612.0,512.0
"Find me home office furniture sets for dining room, living room with color: navy | red, and item shape: round, and size: 3 ft 7 in x 5 ft 2 in, and price lower than 70.00 dollars.",14,2,2,1,14,14,product_detail;search_results,2,click,1.0,0.0,0.0,1.95703125,0.37012620577733346,0.0,0.0,1.95703125,0.5,1718.0,406.0
"Find me home office furniture sets for dining room, living room with color: taupe | orange, and item shape: runner, and size: 7 ft 9 in x 10 ft 8 in, and price lower than 70.00 dollars.",0,9,8,1,0,0,other,1,search,1.0,0.0,4.444444444444445,1.6328125,0.0,2.4268119070265026,1.6565175771046328,1.3969134754604764,0.3333333333333333,225.0,311.6666666666667
"Find me home office furniture sets for dining room, living room with color: taupe | orange, and item shape: runner, and size: 7 ft 9 in x 10 ft 8 in, and price lower than 70.00 dollars.",1,8,8,1,1,1,search_results,7,click,1.0,0.0,3.75,1.58203125,0.13441133229754107,2.511786103248596,2.020899069681802,1.6058752536773682,0.875,1125.125,469.875
"Find me home office furniture sets for dining room, living room with color: taupe | orange, and item shape: runner, and size: 7 ft 9 in x 10 ft 8 in, and price lower than 70.00 dollars.",2,8,8,1,2,2,product_detail,1,click,1.0,0.0,3.75,2.423828125,0.1559008375524441,2.66844742000103,2.3711764602870935,2.1051674634218216,0.625,1634.125,433.5
"Find me home office furniture sets for dining room, living room with color: taupe | orange, and item shape: runner, and size: 7 ft 9 in x 10 ft 8 in, and price lower than 70.00 dollars.",3,8,8,1,3,3,product_detail,1,click,1.0,0.0,3.75,2.72265625,0.14484010195359767,2.8184737265110016,2.7791113245397385,2.454417198896408,0.875,1908.0,464.5
"Find me home office furniture sets for dining room, living room with color: taupe | orange, and item shape: runner, and size: 7 ft 9 in x 10 ft 8 in, and price lower than 70.00 dollars.",4,8,8,1,4,4,product_detail,1,click,0.875,0.0,3.75,2.375,0.0,3.032571792602539,3.2504226135840626,2.68974232673645,0.5,1618.5,338.5
"Find me home office furniture sets for dining room, living room with color: taupe | orange, and item shape: runner, and size: 7 ft 9 in x 10 ft 8 in, and price lower than 70.00 dollars.",5,7,7,1,5,5,product_detail,1,click,0.8571428571428571,0.0,4.285714285714286,2.140625,0.0897587913521567,3.8324241808482578,3.8341772118449216,3.2027935130255565,1.0,1618.142857142857,512.0
"Find me home office furniture sets for dining room, living room with color: taupe | orange, and item shape: runner, and size: 7 ft 9 in x 10 ft 8 in, and price lower than 70.00 dollars.",6,7,7,1,6,6,product_detail,1,click,1.0,2.857142857142857,4.285714285714286,2.189732142857143,0.08039846820976251,4.25577221597944,4.474745549312621,3.7189364773886546,0.8571428571428571,1607.4285714285713,468.7142857142857
"Find me home office furniture sets for dining room, living room with color: taupe | orange, and item shape: runner, and size: 7 ft 9 in x 10 ft 8 in, and price lower than 70.00 dollars.",7,5,5,1,7,7,product_detail,1,click,0.6,0.0,2.0,2.146875,0.08238391454040041,2.051611804962158,3.0859811607640824,2.298733615875244,1.0,1616.0,512.0
"Find me home office furniture sets for dining room, living room with color: taupe | orange, and item shape: runner, and size: 7 ft 9 in x 10 ft 8 in, and price lower than 70.00 dollars.",8,5,5,1,8,8,product_detail,1,click,1.0,0.0,2.0,2.0546875,0.03746743377588063,2.218031144142151,3.647882643920333,2.5088441610336303,0.8,1618.2,430.8
"Find me home office furniture sets for dining room, living room with color: taupe | orange, and item shape: runner, and size: 7 ft 9 in x 10 ft 8 in, and price lower than 70.00 dollars.",9,6,5,1,9,9,product_detail,1,click,1.0,1.6666666666666667,1.6666666666666667,2.0494791666666665,0.015362376253909,2.056063155333201,3.8920949945434966,2.6496660113334656,0.5,1611.3333333333333,357.1666666666667
"Find me home office furniture sets for dining room, living room with color: taupe | orange, and item shape: runner, and size: 7 ft 9 in x 10 ft 8 in, and price lower than 70.00 dollars.",10,4,4,1,10,10,product_detail,1,click,1.0,0.0,0.0,1.916015625,0.09404792072783516,0.32330507040023804,0.07697307344857111,1.592710554599762,0.75,1617.75,404.75
"Find me home office furniture sets for dining room, living room with color: taupe | orange, and item shape: runner, and size: 7 ft 9 in x 10 ft 8 in, and price lower than 70.00 dollars.",11,4,4,1,11,11,product_detail,1,click,1.0,0.0,0.0,1.19921875,0.03157384284630767,0.24488812685012817,0.08681847535568163,0.9543306231498718,0.75,1619.75,479.0
"Find me home office furniture sets for dining room, living room with color: taupe | orange, and item shape: runner, and size: 7 ft 9 in x 10 ft 8 in, and price lower than 70.00 dollars.",12,4,4,1,12,12,other;product_detail,2,click;search,1.0,0.0,0.0,1.1787109375,0.1489292498742237,0.15545104444026947,0.08512529566628974,1.0232598930597305,0.5,1465.25,355.5
"Find me home office furniture sets for dining room, living room with color: taupe | orange, and item shape: runner, and size: 7 ft 9 in x 10 ft 8 in, and price lower than 70.00 dollars.",13,4,4,1,13,13,product_detail;search_results,2,click,0.75,0.0,0.0,1.0263671875,0.22342873580567915,0.06777337193489075,0.07476984969275037,0.9585938155651093,1.0,1587.25,512.0
"Find me home office furniture sets for dining room, living room with color: taupe | orange, and item shape: runner, and size: 7 ft 9 in x 10 ft 8 in, and price lower than 70.00 dollars.",14,4,4,1,14,14,product_detail;search_results,2,click,1.0,0.0,0.0,0.9765625,0.2613784323463459,0.0,0.0,0.9765625,0.5,1670.0,347.0
"Find me machine wash men's dress shirts with cotton spandex, classic fit, short sleeve with color: black, and size: 2x, and price lower than 50.00 dollars.",0,9,8,1,0,0,other,1,search,1.0,0.0,10.0,7.65625,0.0,8.066541141933865,0.02072453462559084,0.410291141933865,0.0,211.0,112.77777777777777
"Find me machine wash men's dress shirts with cotton spandex, classic fit, short sleeve with color: black, and size: 2x, and price lower than 50.00 dollars.",1,9,8,1,1,1,search_results,8,click,1.0,0.0,10.0,8.104166666666666,0.19200321449132055,8.534088134765625,0.004053386538946993,0.4299214680989583,0.0,1036.3333333333333,71.0
"Find me machine wash men's dress shirts with cotton spandex, classic fit, short sleeve with color: black, and size: 2x, and price lower than 50.00 dollars.",2,8,8,1,2,2,product_detail,1,click,1.0,0.0,10.0,8.8203125,0.04005437152885332,9.00136911869049,0.0020995874054188044,0.18105661869049072,0.125,1762.0,223.125
"Find me machine wash men's dress shirts with cotton spandex, classic fit, short sleeve with color: black, and size: 2x, and price lower than 50.00 dollars.",3,8,8,1,3,3,product_detail,1,click,1.0,0.0,10.0,9.3046875,0.022097086912079653,9.494062423706055,0.0,0.1893749237060547,0.5,2185.0,344.125
"Find me machine wash men's dress shirts with cotton spandex, classic fit, short sleeve with color: black, and size: 2x, and price lower than 50.00 dollars.",4,8,8,1,4,4,product_detail,1,click,1.0,10.0,10.0,9.9375,0.0,10.0,0.0,0.0625,0.0,2046.0,72.875
"Find me machine wash men's dress shirts with cotton spandex, classic fit, short sleeve with color: monaco blue, and size: medium, and price lower than 70.00 dollars.",0,8,8,1,0,0,other,1,search;search[men's,1.0,0.0,10.0,8.0625,0.0,8.038830518722534,0.13889447979000755,0.0762033462524414,0.125,211.0,170.25
"Find me machine wash men's dress shirts with cotton spandex, classic fit, short sleeve with color: monaco blue, and size: medium, and price lower than 70.00 dollars.",1,9,8,1,1,1,other;search_results,6,click;search,1.0,0.0,10.0,8.381944444444445,0.12281068877657922,8.479260656568739,0.14082812847740683,0.0973162121242947,0.0,915.7777777777778,76.33333333333333
"Find me machine wash men's dress shirts with cotton spandex, classic fit, short sleeve with color: monaco blue, and size: medium, and price lower than 70.00 dollars.",2,10,8,1,2,2,product_detail;search_results,2,click,1.0,0.0,10.0,8.8375,0.14191155304938652,8.942502117156982,0.14159942542930903,0.10500211715698242,0.1,1650.5,196.1
"Find me machine wash men's dress shirts with cotton spandex, classic fit, short sleeve with color: monaco blue, and size: medium, and price lower than 70.00 dollars.",3,9,8,1,3,3,product_detail,1,click,0.8888888888888888,0.0,10.0,9.333333333333334,0.14986973510352233,9.414171854654947,0.15754437913462943,0.08083852132161458,0.6666666666666666,2089.5555555555557,371.44444444444446
"Find me machine wash men's dress shirts with cotton spandex, classic fit, short sleeve with color: monaco blue, and size: medium, and price lower than 70.00 dollars.",4,8,8,1,4,4,product_detail,1,click,0.875,8.75,10.0,9.8125,0.17677669529663692,9.924257755279541,0.17731239837317447,0.11175775527954102,0.125,2063.0,119.25
"Find me machine wash men's dress shirts with cotton spandex, classic fit, short sleeve with color: monaco blue, and size: medium, and price lower than 70.00 dollars.",5,1,1,1,5,5,product_detail,1,click,1.0,10.0,10.0,9.9375,,10.0,,0.0625,0.0,2047.0,69.0
"Find me machine wash men's dress shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: black, and fit type: youth, and size: medium, and price lower than 30.00 dollars.",0,9,8,1,0,0,other,1,search,1.0,0.0,10.0,6.875,0.0,7.644497023688422,0.01969005896504697,0.7694970236884223,0.0,223.0,133.33333333333334
"Find me machine wash men's dress shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: black, and fit type: youth, and size: medium, and price lower than 30.00 dollars.",1,9,8,1,1,1,search_results,5,click,1.0,0.0,10.0,7.763888888888889,0.06463371690620241,8.072933302985298,0.02841429207310734,0.3090444140964084,0.1111111111111111,920.8888888888889,160.22222222222223
"Find me machine wash men's dress shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: black, and fit type: youth, and size: medium, and price lower than 30.00 dollars.",2,8,8,1,2,2,product_detail,1,click,1.0,0.0,10.0,8.3046875,0.022097086912079695,8.524332046508789,0.03203598476644922,0.21964454650878906,0.75,1242.0,445.5
"Find me machine wash men's dress shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: black, and fit type: youth, and size: medium, and price lower than 30.00 dollars.",3,8,8,1,3,3,product_detail,1,click,1.0,0.0,10.0,8.8203125,0.022097086912079653,8.989944100379944,0.03685860701276484,0.16963160037994385,0.375,1445.375,295.375
"Find me machine wash men's dress shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: black, and fit type: youth, and size: medium, and price lower than 30.00 dollars.",4,8,8,1,4,4,product_detail,1,click,0.875,0.0,10.0,9.5,0.0,9.458999633789062,0.04310968855347867,0.0410003662109375,0.0,1222.0,125.5
"Find me machine wash men's dress shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: black, and fit type: youth, and size: medium, and price lower than 30.00 dollars.",5,8,8,1,5,5,product_detail,1,click,0.875,10.0,10.0,9.8125,0.0,9.987499952316284,0.03535547392924261,0.17499995231628418,0.0,1222.0,100.875
"Find me machine wash men's pants with relaxed fit with color: grey, and size: 34w x 32l, and price lower than 70.00 dollars.",0,9,8,1,0,0,other,1,search,1.0,0.0,10.0,7.96875,0.0,8.06710539923774,0.02863514972201605,0.09835539923773871,0.0,209.0,119.11111111111111
"Find me machine wash men's pants with relaxed fit with color: grey, and size: 34w x 32l, and price lower than 70.00 dollars.",1,8,8,1,1,1,search_results,3,click,1.0,0.0,10.0,8.1953125,0.022097086912079584,8.53195321559906,0.026399386835006502,0.33664071559906006,0.0,994.125,72.375
"Find me machine wash men's pants with relaxed fit with color: grey, and size: 34w x 32l, and price lower than 70.00 dollars.",2,9,8,1,2,2,product_detail,1,click,1.0,0.0,10.0,8.868055555555555,0.02083333333333334,8.994590441385904,0.02953289680930295,0.1265348858303494,0.6666666666666666,1730.5555555555557,362.55555555555554
"Find me machine wash men's pants with relaxed fit with color: grey, and size: 34w x 32l, and price lower than 70.00 dollars.",3,8,8,1,3,3,product_detail,1,click,0.875,0.0,10.0,9.3359375,0.04650148807142771,9.481562376022339,0.035355473929242265,0.14562487602233887,0.125,2151.0,223.75
"Find me machine wash men's pants with relaxed fit with color: grey, and size: 34w x 32l, and price lower than 70.00 dollars.",4,9,8,1,4,4,product_detail,1,click,1.0,10.0,10.0,9.9375,0.0,10.0,0.0,0.0625,0.0,2065.0,74.44444444444444
"Find me machine wash men's pants with relaxed fit with color: navy, and size: 40w x 34l, and price lower than 70.00 dollars.",0,8,8,1,0,0,other,1,search,1.0,0.0,10.0,8.125,0.0,8.08811330795288,0.005135518370138222,0.03688669204711914,0.125,209.0,163.75
"Find me machine wash men's pants with relaxed fit with color: navy, and size: 40w x 34l, and price lower than 70.00 dollars.",1,8,8,1,1,1,search_results,6,click,1.0,0.0,10.0,8.3359375,0.032346823094172764,8.53356647491455,0.003812745480539889,0.19762897491455078,0.0,1025.375,73.625
"Find me machine wash men's pants with relaxed fit with color: navy, and size: 40w x 34l, and price lower than 70.00 dollars.",2,8,8,1,2,2,product_detail,1,click,1.0,0.0,10.0,8.8203125,0.022097086912079584,9.000745058059692,0.0030729876798143894,0.18043255805969238,0.5,1765.25,315.375
"Find me machine wash men's pants with relaxed fit with color: navy, and size: 40w x 34l, and price lower than 70.00 dollars.",3,9,8,1,3,3,product_detail,1,click,1.0,0.0,10.0,9.347222222222221,0.03294039229342056,9.48812484741211,0.0,0.14090262518988717,0.3333333333333333,2191.5555555555557,227.22222222222223
"Find me machine wash men's pants with relaxed fit with color: navy, and size: 40w x 34l, and price lower than 70.00 dollars.",4,8,8,1,4,4,product_detail,1,click,1.0,10.0,10.0,9.875,0.0,10.0,0.0,0.125,0.0,2066.0,73.5
"Find me non slip desks for living room with color: christmasgoo1729, and size: 19.7x31.5in+19.7x63in, and price lower than 40.00 dollars.",0,8,8,1,0,0,other,1,search,1.0,0.0,0.0,3.359375,0.0,1.5967739075422287,0.1370124736850393,1.7626010924577713,0.25,223.0,289.5
"Find me non slip desks for living room with color: christmasgoo1729, and size: 19.7x31.5in+19.7x63in, and price lower than 40.00 dollars.",1,8,8,1,1,1,search_results,6,click,1.0,0.0,0.0,3.482421875,0.8995843805651009,1.4806362092494965,0.08847965364705954,2.0017856657505035,0.375,1196.125,286.875
"Find me non slip desks for living room with color: christmasgoo1729, and size: 19.7x31.5in+19.7x63in, and price lower than 40.00 dollars.",2,8,8,1,2,2,product_detail,1,click,1.0,0.0,0.0,6.4765625,0.4355024550939491,1.0121204257011414,0.07822058886773699,5.464442074298859,0.5,1852.625,297.625
"Find me non slip desks for living room with color: christmasgoo1729, and size: 19.7x31.5in+19.7x63in, and price lower than 40.00 dollars.",3,10,8,1,3,3,product_detail,1,click,1.0,0.0,0.0,7.0625,0.3629427372955072,0.38938312530517577,0.06978890585618028,6.673116874694824,0.7,2199.4,414.8
"Find me non slip desks for living room with color: christmasgoo1729, and size: 19.7x31.5in+19.7x63in, and price lower than 40.00 dollars.",4,9,8,1,4,4,product_detail,1,click,0.7777777777777778,0.0,0.0,3.984375,0.0,0.003012153837415907,0.09453629602282596,3.9813628461625843,0.3333333333333333,1938.0,226.0
"Find me non slip desks for living room with color: christmasgoo1729, and size: 19.7x31.5in+19.7x63in, and price lower than 40.00 dollars.",5,1,1,1,5,5,product_detail,1,click,1.0,0.0,0.0,2.390625,,0.0,,2.390625,0.0,1938.0,80.0
"Find me non slip desks for living room with color: christmasgoo3302, and size: 19.7x31.5in+19.7x63in, and price lower than 50.00 dollars.",0,9,8,1,0,0,other,1,search,1.0,0.0,0.0,3.171875,0.0,1.733575012948778,0.05960107967109204,1.438299987051222,0.3333333333333333,223.0,294.22222222222223
"Find me non slip desks for living room with color: christmasgoo3302, and size: 19.7x31.5in+19.7x63in, and price lower than 50.00 dollars.",1,8,8,1,1,1,product_detail;search_results,8,click,1.0,0.0,0.0,2.96875,0.5844549697000984,1.7028924822807312,0.052255669985666865,1.2658575177192688,0.5,1157.25,322.375
"Find me non slip desks for living room with color: christmasgoo3302, and size: 19.7x31.5in+19.7x63in, and price lower than 50.00 dollars.",2,8,8,1,2,2,product_detail,1,click,1.0,0.0,0.0,6.64453125,0.43234769071852674,1.2534061670303345,0.014624767420950953,5.3911250829696655,0.625,1813.5,364.625
"Find me non slip desks for living room with color: christmasgoo3302, and size: 19.7x31.5in+19.7x63in, and price lower than 50.00 dollars.",3,8,8,1,3,3,product_detail,1,click,1.0,0.0,0.0,7.44921875,0.15394505266838365,0.6382813453674316,0.0,6.810937404632568,0.625,2192.375,373.5
"Find me non slip desks for living room with color: christmasgoo3302, and size: 19.7x31.5in+19.7x63in, and price lower than 50.00 dollars.",4,8,8,1,4,4,product_detail,1,click,1.0,0.0,0.0,6.71875,0.0,0.0,0.0,6.71875,0.125,1938.0,137.0
"Find me non slip, easy clean, easy use lip care for oral hygiene with size: 0.7mm, and price lower than 40.00 dollars.",0,8,8,1,0,0,other,1,search,1.0,0.0,10.0,8.25,0.0,8.476358890533447,0.004347018173551673,0.22635889053344727,0.125,205.0,144.25
"Find me non slip, easy clean, easy use lip care for oral hygiene with size: 0.7mm, and price lower than 40.00 dollars.",1,10,8,1,1,1,search_results,4,click,1.0,0.0,10.0,8.46875,0.04419417382415932,8.973491668701172,0.0030656587384721495,0.5047416687011719,0.1,1043.2,146.2
"Find me non slip, easy clean, easy use lip care for oral hygiene with size: 0.7mm, and price lower than 40.00 dollars.",2,8,8,1,2,2,product_detail,1,click,1.0,0.0,10.0,9.21875,0.03340765523905305,9.470312118530273,0.0,0.25156211853027344,0.125,1163.375,188.625
"Find me non slip, easy clean, easy use lip care for oral hygiene with size: 0.7mm, and price lower than 40.00 dollars.",3,10,8,1,3,3,product_detail,1,click,1.0,10.0,10.0,9.6875,0.0,10.0,0.0,0.3125,0.0,1281.5,96.0
"Find me officially licensed, machine wash men's t-shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: white, and fit type: men, and size: 3t, and price lower than 40.00 dollars.",0,8,8,1,0,0,other,1,no_action_tag;search,0.875,0.0,0.0,-0.0220947265625,0.0,-0.1444656727835536,0.07289291256304255,0.1223709462210536,1.0,228.0,512.0
"Find me officially licensed, machine wash men's t-shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: white, and fit type: men, and size: 3t, and price lower than 40.00 dollars.",1,9,8,1,1,1,other;search_results,8,click;search,1.0,0.0,0.0,-0.012722439236111112,0.023621297645996082,-0.14100559386942121,0.07482529751749403,0.1282831546333101,0.6666666666666666,851.3333333333334,391.6666666666667
