task_text,stage,rows,trajs,tasks,step_min,step_max,stages,exact_obs_groups,actions,valid_rate,reward_mean,episode_reward_mean,value_pred_mean,value_pred_std,value_target_mean,value_target_std,value_error_mae,clipped_rate,prompt_len_mean,response_len_mean
"Find me non slip desks for living room with color: christmasgoo1729, and size: 19.7x31.5in+19.7x63in, and price lower than 40.00 dollars.",search_results,8,8,1,1,1,search_results,6,click,1.0,0.0,0.0,3.482421875,0.8995843805651009,1.4806362092494965,0.08847965364705954,2.0017856657505035,0.375,1196.125,286.875
"Find me non slip desks for living room with color: christmasgoo3302, and size: 19.7x31.5in+19.7x63in, and price lower than 50.00 dollars.",other,9,8,1,0,0,other,1,search,1.0,0.0,0.0,3.171875,0.0,1.733575012948778,0.05960107967109204,1.438299987051222,0.3333333333333333,223.0,294.22222222222223
"Find me non slip desks for living room with color: christmasgoo3302, and size: 19.7x31.5in+19.7x63in, and price lower than 50.00 dollars.",product_detail,26,8,1,1,4,product_detail,3,click,1.0,0.0,0.0,6.608173076923077,1.249663416223006,0.7147397628197303,0.5831250267737017,5.893433314103347,0.4230769230769231,1921.076923076923,282.84615384615387
"Find me non slip desks for living room with color: christmasgoo3302, and size: 19.7x31.5in+19.7x63in, and price lower than 50.00 dollars.",search_results,6,6,1,1,1,search_results,6,click,1.0,0.0,0.0,3.0729166666666665,0.5596862495333136,1.6955676873524983,0.05300986103587542,1.3773489793141682,0.6666666666666666,1143.5,371.0
"Find me non slip, easy clean, easy use lip care for oral hygiene with size: 0.7mm, and price lower than 40.00 dollars.",other,8,8,1,0,0,other,1,search,1.0,0.0,10.0,8.25,0.0,8.476358890533447,0.004347018173551673,0.22635889053344727,0.125,205.0,144.25
"Find me non slip, easy clean, easy use lip care for oral hygiene with size: 0.7mm, and price lower than 40.00 dollars.",product_detail,18,8,1,2,3,product_detail,1,click,1.0,5.555555555555555,10.0,9.479166666666666,0.2406333554699056,9.764583163791233,0.2708347067360108,0.28541649712456596,0.05555555555555555,1229.0,137.16666666666666
"Find me non slip, easy clean, easy use lip care for oral hygiene with size: 0.7mm, and price lower than 40.00 dollars.",search_results,10,8,1,1,1,search_results,4,click,1.0,0.0,10.0,8.46875,0.04419417382415932,8.973491668701172,0.0030656587384721495,0.5047416687011719,0.1,1043.2,146.2
"Find me officially licensed, machine wash men's t-shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: white, and fit type: men, and size: 3t, and price lower than 40.00 dollars.",other,23,8,1,0,13,other,1,click;malformed_action_tag;no_action_tag;search,0.9130434782608695,0.0,0.0,-0.06103515625,0.06556172809300148,-0.12838057428598404,0.08702281009554334,0.09755188712607259,0.782608695652174,543.7391304347826,461.82608695652175
"Find me officially licensed, machine wash men's t-shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: white, and fit type: men, and size: 3t, and price lower than 40.00 dollars.",product_detail,49,8,1,2,13,product_detail,4,click;no_action_tag,0.7346938775510204,0.0,0.0,-0.10464166135204081,0.04397801676605111,-0.11219061029200651,0.09716561392261903,0.07977572934968132,0.8979591836734694,1281.8367346938776,480.9591836734694
"Find me officially licensed, machine wash men's t-shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: white, and fit type: men, and size: 3t, and price lower than 40.00 dollars.",search_results,25,8,1,1,14,search_results,19,click;no_action_tag,0.84,0.0,0.0,-0.06298828125,0.06723936910223328,-0.11718459784984589,0.09556291988966635,0.09727675259113312,0.84,1076.84,464.48
"Find me slip resistant, non slip men's loafers & slip-ons with rubber outsole, rubber sole with color: black2626, and size: 10.5, and price lower than 50.00 dollars.",other,22,8,1,0,10,other,1,click;no_action_tag;search,0.9090909090909091,0.0,0.0,-0.006630637428977273,0.06592498027630438,-0.07092998989603737,0.05589934798117995,0.07699603180993687,0.8181818181818182,737.1818181818181,476.40909090909093
"Find me slip resistant, non slip men's loafers & slip-ons with rubber outsole, rubber sole with color: black2626, and size: 10.5, and price lower than 50.00 dollars.",product_detail,56,8,1,2,14,product_detail,4,click,0.9107142857142857,0.0,0.0,-0.045826503208705356,0.07446665916140881,-0.043164656830153296,0.06276830890431763,0.07978082787511605,0.9107142857142857,1873.7857142857142,499.75
"Find me slip resistant, non slip men's loafers & slip-ons with rubber outsole, rubber sole with color: black2626, and size: 10.5, and price lower than 50.00 dollars.",search_results,25,8,1,1,12,search_results,15,click,0.96,0.0,0.0,-0.05091064453125,0.0788010873729516,-0.07245703354477882,0.058023610734073076,0.084078119546175,0.88,1374.4,474.28
"Find me wash cold, machine wash men's shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: cranberry, and fit type: youth, and size: x-large, and price lower than 50.00 dollars.",other,10,8,1,0,0,other,1,search,1.0,0.0,10.0,7.96875,0.0,7.753077030181885,0.0,0.21567296981811523,0.1,227.0,196.1
"Find me wash cold, machine wash men's shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: cranberry, and fit type: youth, and size: x-large, and price lower than 50.00 dollars.",product_detail,33,8,1,2,5,product_detail,1,click,1.0,2.727272727272727,10.0,9.297348484848484,0.46114410174668546,9.290472319631865,0.5454526779657972,0.10914889248934659,0.18181818181818182,1285.5151515151515,203.93939393939394
"Find me wash cold, machine wash men's shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: cranberry, and fit type: youth, and size: x-large, and price lower than 50.00 dollars.",search_results,8,8,1,1,1,search_results,2,click,1.0,0.0,10.0,8.25,0.0,8.151259422302246,0.0,0.0987405776977539,0.0,925.625,105.375
